index,1 days,5 days,10 days,15 days,20 days,25 days,30 days,35 days,40 days,45 days,50 days,55 days,60 days,65 days,70 days,75 days,80 days,85 days,90 days
2011-01-01,3.1157553,3.008378,2.8547487,2.4642744,2.3023531,2.4073915,2.0292227,2.1094375,2.0663195,2.0491998,2.0181634,1.73785,1.5853229,1.4942627,1.2945895,1.4939435,1.4058087,1.5391746,1.2714388
2011-01-02,2.9622386,2.8572998,2.597185,2.377717,2.1881466,2.2188249,2.0044022,1.9805728,1.9991734,2.0438676,1.9857813,1.7963476,1.6560559,1.5038462,1.4140093,1.5604279,1.4879568,1.5726163,1.3692658
2011-01-03,2.9752824,2.8106403,2.6291687,2.3613029,2.1246986,2.2846172,1.7850835,1.911644,1.8084798,1.8899441,1.8505242,1.6118228,1.3538022,1.2623365,1.0985038,1.2400599,1.201828,1.3072047,1.1896029
2011-01-04,2.850243,2.875175,2.6685123,2.3124838,2.2415323,2.2317429,2.0808861,2.1274786,2.1173472,2.0346608,1.9547087,1.719955,1.744211,1.5592012,1.4084406,1.607743,1.5800502,1.6033003,1.442281
2011-01-05,3.1254585,2.928775,2.8433144,2.5068903,2.2777014,2.421386,1.9142987,1.9925786,1.8005805,2.0080223,1.8588603,1.6775591,1.2880237,1.2269869,1.0144119,1.1630836,1.0941598,1.2281058,1.1251028
2011-01-06,2.7867155,2.7482934,2.5152102,2.2140894,2.1622643,2.1597464,1.9185884,2.0294633,1.9281116,2.0159576,1.9027025,1.7395141,1.5709581,1.4722221,1.3211246,1.4472988,1.4056284,1.4392121,1.3854918
2011-01-07,2.8052788,2.8896513,2.7108018,2.287744,2.3075366,2.3505714,1.9032521,2.0122,2.0582204,1.8804436,2.0662563,1.7823977,1.484029,1.258373,1.1925528,1.3788598,1.4750543,1.2800813,1.2802927
2011-01-08,2.676363,2.5780177,2.4680855,2.308442,2.0890937,2.1027727,1.7767496,1.7625806,1.8702719,1.7179351,1.8549421,1.656641,1.3921287,1.1722875,1.1817174,1.3647978,1.4157574,1.271559,1.30846
2011-01-09,2.9142318,2.723153,2.6276126,2.4648259,2.231141,2.3045177,1.8637695,1.8277719,1.7747567,1.862782,1.8044896,1.7513759,1.2920408,1.1656559,1.0857568,1.1333516,1.2165823,1.1594193,1.1802182
2011-01-10,2.7819428,2.4928532,2.4287744,2.4533966,2.0307717,2.0783792,1.7695417,1.659343,1.6109107,1.5947573,1.5255961,1.5047112,1.1584384,1.0549786,0.9640813,1.0368514,1.1001644,1.0494049,1.0793347
2011-01-11,2.681976,2.4501476,2.198227,2.3170547,1.9603097,1.8890326,1.6733623,1.6078875,1.4915042,1.6465936,1.5860171,1.5521245,1.1274226,1.0388296,1.0408854,1.0187097,1.1029797,1.0361283,1.0901535
2011-01-12,2.726684,2.4653769,2.227975,2.3475552,1.9019927,1.9724782,1.4939947,1.5520067,1.4065244,1.4340794,1.6233904,1.5098808,0.89874077,0.896121,0.9194765,0.8876364,1.0175691,0.89228654,1.0281305
2011-01-13,2.8024764,2.430623,2.3953853,2.469256,1.8832936,2.1968794,1.316294,1.5245957,1.2890165,1.120794,1.5384226,1.3242188,0.5732229,0.8032026,0.73415947,0.7448838,0.8713443,0.79094386,1.002557
2011-01-14,2.5814233,2.3962727,2.0983129,2.1558833,1.7868118,1.8444657,1.5979283,1.6237302,1.5503197,1.5848484,1.5935769,1.4913175,1.1664858,1.1122859,1.061619,1.0728846,1.0801065,1.0888336,1.1035838
2011-01-15,2.6180186,2.5863118,2.3203578,2.0927844,1.9833041,1.9446875,1.839011,1.9434025,1.8896972,1.9008126,1.8323908,1.6537642,1.5599859,1.4558234,1.384484,1.4530277,1.4220989,1.4576955,1.3813558
2011-01-16,2.6445808,2.5494418,2.3037286,2.1260595,1.9727911,2.0028548,1.7460048,1.7880516,1.7791007,1.8039207,1.803123,1.6734228,1.4227679,1.2470608,1.2081892,1.3747768,1.3407884,1.2832096,1.3529618
2011-01-17,2.5592089,2.4398437,2.2783775,2.0341763,1.8729601,2.0448635,1.4710534,1.679003,1.6597362,1.6109588,1.7859504,1.5313148,1.1608582,1.0454125,0.9957688,1.2287123,1.221703,1.1892972,1.267385
2011-01-18,2.5234742,2.4445345,2.2130225,2.0483093,1.915642,1.9496998,1.6104298,1.6999016,1.7081223,1.705524,1.7949517,1.6299272,1.2988439,1.1474011,1.1513948,1.2922025,1.3090272,1.2423708,1.2905612
2011-01-19,2.5649767,2.4019847,2.25457,2.1522295,1.9026672,1.9970535,1.6003308,1.6323652,1.6631396,1.5871763,1.7048564,1.5991597,1.2093263,1.085957,1.0846791,1.23757,1.2609282,1.16241,1.2664573
2011-01-20,2.5088668,2.3336039,2.1826518,2.11525,1.8455667,1.9355509,1.5497684,1.5840776,1.607841,1.5110269,1.6309555,1.5307453,1.1709678,1.0437248,1.0491047,1.2085271,1.2393095,1.1445856,1.2526765
2011-01-21,2.5249913,2.3377528,2.1603622,2.139792,1.8540657,1.9110041,1.5521824,1.535548,1.5162537,1.4518957,1.5594895,1.4829822,1.069598,0.95539975,0.96239877,1.0580921,1.1508887,1.0289128,1.1309063
2011-01-22,2.3203473,2.2601123,1.9849408,1.9235284,1.819593,1.8447638,1.58268,1.6390648,1.6900218,1.6730824,1.6472511,1.5956812,1.3947756,1.2340631,1.2722361,1.2592578,1.3615932,1.3246298,1.3681893
2011-01-23,2.4047322,2.3777266,2.0659935,1.9511317,1.8863791,1.8961722,1.6585138,1.7385647,1.8073442,1.7477305,1.7510595,1.6560848,1.5294299,1.3858099,1.4171236,1.440258,1.5049884,1.5195384,1.4372287
2011-01-24,2.3565621,2.404227,2.060771,1.9329308,1.8614283,1.8276582,1.6194701,1.7419119,1.8213344,1.7079353,1.8348207,1.6253824,1.5023336,1.3235731,1.4124124,1.4409945,1.5275407,1.4797547,1.416208
2011-01-25,2.2815394,2.2676,1.8844993,1.8679156,1.7672288,1.7292919,1.6874683,1.744139,1.8083806,1.7881958,1.7363899,1.6818264,1.6131485,1.4909306,1.5311975,1.5085282,1.4785755,1.515923,1.4988825
2011-01-26,2.499316,2.2906616,2.0694895,2.059548,1.8158329,1.88279,1.5936289,1.6213467,1.6157324,1.6610863,1.632339,1.5819232,1.3227713,1.2547781,1.2378778,1.3026764,1.2978241,1.3435173,1.3538415
2011-01-27,2.4567227,2.3933015,2.1360488,1.9501065,1.8500085,1.8983806,1.6850877,1.7806447,1.7815809,1.7758427,1.7195137,1.5928521,1.4754069,1.373831,1.3202324,1.3837364,1.4120083,1.4728873,1.4107137
2011-01-28,2.3329835,2.2505515,2.0357213,1.9201006,1.8171504,1.8173561,1.6881204,1.7721808,1.7609923,1.7396176,1.6086535,1.5681214,1.5100529,1.399812,1.3484638,1.359858,1.3778381,1.400429,1.444066
2011-01-29,2.5050426,2.5311193,2.418243,2.1259773,2.1113467,1.981649,1.8469462,1.9352899,1.7896464,1.8646486,1.75156,1.6201918,1.4936502,1.303977,1.3513217,1.3180277,1.4868407,1.3497806,1.4679055
2011-01-30,2.5575328,2.4966455,2.382114,2.132958,2.0215993,1.9934887,1.8992093,1.8933346,1.8793529,1.7656419,1.6705115,1.5262313,1.6568,1.4824393,1.3558772,1.4945385,1.5142832,1.5307481,1.5289199
2011-01-31,2.3461466,2.3679218,2.1534152,2.0164921,1.9594591,1.8943052,1.778389,1.786283,1.8118079,1.8073723,1.7609744,1.6521251,1.5885634,1.3796115,1.460434,1.4469569,1.5439942,1.4620183,1.5791781
2011-02-01,2.2856107,2.202475,1.9766651,1.9815631,1.8388624,1.7297804,1.742142,1.7021139,1.7856305,1.6825354,1.6374233,1.6234848,1.5835664,1.4192853,1.4882047,1.4869428,1.528379,1.4420614,1.5415785
2011-02-02,2.3225026,2.2856402,2.1067324,1.9284179,1.8766054,1.7840886,1.7455745,1.8318939,1.7653592,1.7554924,1.5950541,1.534133,1.5326998,1.4212418,1.4282863,1.3707607,1.4503121,1.4443719,1.484585
2011-02-03,2.31907,2.2326074,1.9693311,1.9262391,1.8328757,1.787132,1.7205822,1.7493606,1.7645304,1.7832646,1.6386662,1.6392641,1.5974772,1.4577873,1.4898174,1.4455624,1.5048468,1.5030227,1.5588295
2011-02-04,2.4030375,2.3750052,2.2368886,2.027505,1.9661058,1.8365428,1.7944756,1.8131499,1.7860677,1.7118933,1.6454911,1.5315101,1.5759716,1.381419,1.4161699,1.4039567,1.5505149,1.455143,1.5203488
2011-02-05,2.3519812,2.31424,2.1175094,2.0076895,1.9550459,1.9127253,1.7630284,1.7797201,1.7777784,1.8015771,1.7032857,1.6865001,1.5838091,1.4283535,1.4692612,1.4610741,1.5255406,1.4689205,1.6018407
2011-02-06,2.3573313,2.2786574,2.1326342,2.0058138,1.8858037,1.8552577,1.7591546,1.7637649,1.8050535,1.6797352,1.6473157,1.5799696,1.6117003,1.4659579,1.460026,1.5144675,1.5628717,1.5171142,1.6377068
2011-02-07,2.2745879,2.2114964,1.9880809,1.8824813,1.8144696,1.7751834,1.7912683,1.796798,1.840884,1.7765789,1.6259563,1.5893703,1.7105072,1.6255774,1.5668926,1.5873013,1.556895,1.6298649,1.6856382
2011-02-08,2.295898,2.2457933,2.0092564,1.9599446,1.8922611,1.8730888,1.7199969,1.7358627,1.8218417,1.7699304,1.7656596,1.7189636,1.6197851,1.5005889,1.5498667,1.588429,1.6307533,1.6022797,1.6593604
2011-02-09,2.4190965,2.3577244,2.2282972,2.0626357,1.9675657,1.8661163,1.8491473,1.81334,1.8267856,1.727643,1.6870878,1.6123605,1.6342006,1.475662,1.4771733,1.5192702,1.5937839,1.5000606,1.6332238
2011-02-10,2.3806305,2.2396827,2.0062542,2.094071,1.9421462,1.8004961,1.8400593,1.728625,1.6643577,1.7629104,1.5225713,1.6517282,1.7131484,1.566685,1.6200144,1.5188746,1.5717664,1.5495536,1.7314229
2011-02-11,2.223085,2.0780587,1.8093407,1.9332398,1.7507069,1.6660886,1.6945853,1.6783502,1.6946414,1.6614311,1.5091791,1.5652819,1.6288769,1.5589778,1.5995522,1.5053031,1.520359,1.5563712,1.6535351
2011-02-12,2.6052392,2.5064082,2.3086886,2.121554,2.056943,1.9510669,1.836,1.8853247,1.7785788,1.8412116,1.7785089,1.6720052,1.4296093,1.4149294,1.3869548,1.3827331,1.5002038,1.472995,1.3895528
2011-02-13,2.3599234,2.3184502,1.9721538,1.9038203,1.9271761,1.7634094,1.9710104,1.8868237,1.8994387,1.9635743,1.7124615,1.8472054,1.8407452,1.7929547,1.7768445,1.6972556,1.6930346,1.7024674,1.7277441
2011-02-14,2.2597804,2.2515295,1.9076432,1.835629,1.8183036,1.7272022,1.6222458,1.800906,1.8303208,1.7668734,1.7904689,1.6443772,1.6392617,1.5398407,1.6114607,1.5598757,1.6522074,1.6688044,1.5822196
