index,1 days,5 days,10 days,15 days,20 days,25 days,30 days,35 days,40 days,45 days,50 days,55 days,60 days,65 days,70 days,75 days,80 days,85 days,90 days
2010-12-31,32.392986,31.65899,29.696808,27.41431,25.618233,25.004461,25.329363,22.694704,22.634493,20.741863,20.677935,17.635561,16.3445,17.743782,14.447795,13.78686,13.753498,12.257277,11.87711
2011-01-01,29.766178,29.176266,26.73299,25.177631,23.340603,23.203999,23.01624,20.858486,20.20435,18.473383,18.309116,15.733904,14.750711,15.361874,12.552279,12.107553,12.138721,10.156892,10.313761
2011-01-02,29.438631,28.741892,26.337904,24.690645,23.14435,23.385506,22.84423,21.141882,19.942352,18.503239,18.214762,15.473307,14.459607,15.106189,12.341929,12.35742,12.088741,9.775915,10.165842
2011-01-03,29.945568,29.214642,27.35271,25.187569,24.12771,23.963734,23.15623,20.614876,20.72743,18.459843,18.202698,16.271917,14.585365,15.467725,12.307326,11.794231,12.341681,10.283554,10.133916
2011-01-04,28.137806,27.984434,25.32168,24.300064,22.353539,22.678377,21.967701,20.23457,19.282053,17.934294,17.645565,15.263119,14.472253,14.581911,12.082167,11.76062,11.704023,9.597101,9.845155
2011-01-05,29.731335,29.017036,26.897041,25.338497,23.839466,23.80415,23.088833,21.185083,20.469614,18.944502,18.636139,16.252895,15.037636,15.52068,13.192932,12.580901,12.430107,10.460085,10.406071
2011-01-06,26.918318,27.391954,24.270607,23.570084,21.586678,22.451454,21.529919,19.631254,18.67172,17.298162,17.152073,14.767241,13.867802,13.679169,11.38941,10.870609,11.390619,8.916365,9.201786
2011-01-07,29.392025,29.429333,26.857765,25.505653,23.611128,24.277992,22.989319,21.432114,20.300428,18.73461,18.486465,15.883394,14.60731,15.052962,12.696499,12.204426,12.069139,10.379997,10.24262
2011-01-08,27.834717,27.85114,25.33059,24.070286,22.35719,22.88072,22.745092,21.323826,19.062426,17.909191,18.141304,15.037135,14.32942,14.267069,12.439617,12.247439,12.058504,9.879809,9.702277
2011-01-09,27.644321,27.354797,25.03025,23.587227,21.93053,22.395063,22.138676,20.846455,18.17722,17.432583,17.492233,14.5353565,13.9637375,13.946924,12.047923,12.149387,11.606069,9.31572,9.4336195
2011-01-10,28.032898,27.844784,25.645168,23.791338,22.47875,22.30721,22.149925,20.468243,18.437584,17.67204,17.477589,14.774813,13.720646,14.396193,11.612844,12.099239,12.0251,9.560465,9.269774
